lucode,urban_nature,search_radius_m
0,0,0
1,1,800
2,1,500
3,1,700
4,1,400
5,1,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
254,0,0
