THREAT,MAX_DIST,WEIGHT,DECAY,BASE_PATH,CUR_PATH,FUT_PATH
structures,5,1,Exponential,,threat_710.tif,
other imp,2,0.7,Exponential,,threat_811.tif,
roads,0.5,0.5,Exponential,,threat_912.tif,
